['4-GB14', '5', '1', 'Coesite', '0.31', 'Sylvite', '0.21', 'Zeolites', '0.28', 'None', '0.00']
['A4B-V5', '1', '1', 'Bitumens', '0.23', 'Coesite', '0.2', 'Euxenite', '0.39', 'Sylvite', '0.19']
['A4B-V5', '2', '1', 'Bitumens', '0.22', 'Coesite', '0.27', 'Zeolites', '0.31', 'None', '0.00']
['A4B-V5', '3', '1', 'Bitumens', '0.29', 'Coesite', '0.31', 'Sylvite', '0.2', 'None', '0.00']
['A4B-V5', '3', '2', 'Bitumens', '0.29', 'Coesite', '0.28', 'Sylvite', '0.23', 'None', '0.00']
['A4B-V5', '3', '3', 'Coesite', '0.31', 'Sylvite', '0.23', 'Zeolites', '0.26', 'None', '0.00']
['A4B-V5', '3', '4', 'Coesite', '0.31', 'Zeolites', '0.49', 'None', '0.00', 'None', '0.00']
['A4B-V5', '3', '5', 'Bitumens', '0.52', 'Coesite', '0.28', 'None', '0.00', 'None', '0.00']
['A4B-V5', '3', '6', 'Coesite', '0.5', 'Zeolites', '0.3', 'None', '0.00', 'None', '0.00']
['A4B-V5', '3', '7', 'Bitumens', '0.27', 'Coesite', '0.53', 'None', '0.00', 'None', '0.00']
['A4B-V5', '3', '8', 'Bitumens', '0.26', 'Sylvite', '0.54', 'None', '0.00', 'None', '0.00']
['A4B-V5', '3', '9', 'Coesite', '0.21', 'Euxenite', '0.32', 'Sylvite', '0.47', 'None', '0.00']
['A4B-V5', '3', '10', 'Bitumens', '0.19', 'Sylvite', '0.28', 'Zeolites', '0.33', 'None', '0.00']
['A4B-V5', '3', '11', 'Coesite', '0.21', 'Euxenite', '0.26', 'Sylvite', '0.52', 'None', '0.00']
['A4B-V5', '3', '12', 'Coesite', '0.28', 'Zeolites', '0.52', 'None', '0.00', 'None', '0.00']
['A4B-V5', '3', '13', 'Bitumens', '0.28', 'Coesite', '0.17', 'Sylvite', '0.35', 'None', '0.00']
['A4B-V5', '3', '14', 'Bitumens', '0.45', 'Coesite', '0.35', 'None', '0.00', 'None', '0.00']
['A4B-V5', '3', '15', 'Coesite', '0.28', 'Sylvite', '0.16', 'Zeolites', '0.35', 'None', '0.00']
['A4B-V5', '3', '16', 'Bitumens', '0.27', 'Coesite', '0.28', 'Sylvite', '0.24', 'None', '0.00']
['A4B-V5', '3', '17', 'Bitumens', '0.52', 'Sylvite', '0.28', 'None', '0.00', 'None', '0.00']
['A4B-V5', '3', '18', 'Coesite', '0.51', 'Zeolites', '0.29', 'None', '0.00', 'None', '0.00']
['A4B-V5', '3', '19', 'Coesite', '0.54', 'Zeolites', '0.26', 'None', '0.00', 'None', '0.00']
['A4B-V5', '3', '20', 'Coesite', '0.34', 'Zeolites', '0.46', 'None', '0.00', 'None', '0.00']
['A4B-V5', '4', '1', 'Bitumens', '0.2', 'Coesite', '0.26', 'Zeolites', '0.33', 'None', '0.00']
['A4B-V5', '4', '2', 'Coesite', '0.35', 'Zeolites', '0.45', 'None', '0.00', 'None', '0.00']
['A4B-V5', '4', '3', 'Coesite', '0.33', 'Sylvite', '0.21', 'Zeolites', '0.26', 'None', '0.00']
['A4B-V5', '4', '4', 'Coesite', '0.21', 'Sylvite', '0.32', 'Zeolites', '0.27', 'None', '0.00']
['A4B-V5', '4', '5', 'Bitumens', '0.29', 'Coesite', '0.29', 'Zeolites', '0.22', 'None', '0.00']
['A4B-V5', '4', '6', 'Coesite', '0.19', 'Euxenite', '0.26', 'Sylvite', '0.55', 'None', '0.00']
['A4B-V5', '4', '7', 'Bitumens', '0.17', 'Coesite', '0.32', 'Zeolites', '0.31', 'None', '0.00']
['A4B-V5', '4', '8', 'Bitumens', '0.26', 'Coesite', '0.32', 'Sylvite', '0.21', 'None', '0.00']
['A4B-V5', '4', '9', 'Bitumens', '0.28', 'Coesite', '0.3', 'Zeolites', '0.23', 'None', '0.00']
['A4B-V5', '4', '10', 'Coesite', '0.28', 'Euxenite', '0.29', 'Sylvite', '0.23', 'Zeolites', '0.2']
['A4B-V5', '4', '11', 'Coesite', '0.17', 'Euxenite', '0.29', 'Sylvite', '0.29', 'Zeolites', '0.25']
['A4B-V5', '4', '12', 'Bitumens', '0.22', 'Sylvite', '0.34', 'Zeolites', '0.24', 'None', '0.00']
['A4B-V5', '4', '13', 'Euxenite', '0.37', 'Scheelite', '0.19', 'Zeolites', '0.43', 'None', '0.00']
['A4B-V5', '4', '14', 'Sylvite', '0.54', 'Zeolites', '0.26', 'None', '0.00', 'None', '0.00']
['A4B-V5', '4', '15', 'Coesite', '0.19', 'Sylvite', '0.27', 'Zeolites', '0.34', 'None', '0.00']
['A4B-V5', '5', '1', 'Bitumens', '0.3', 'Coesite', '0.23', 'Sylvite', '0.27', 'None', '0.00']
['A4B-V5', '5', '2', 'Sylvite', '0.3', 'Zeolites', '0.5', 'None', '0.00', 'None', '0.00']
['A4B-V5', '5', '3', 'Bitumens', '0.17', 'Sylvite', '0.35', 'Zeolites', '0.27', 'None', '0.00']
['A4B-V5', '5', '4', 'Bitumens', '0.19', 'Coesite', '0.29', 'Zeolites', '0.32', 'None', '0.00']
['A4B-V5', '5', '5', 'Bitumens', '0.32', 'Coesite', '0.29', 'Zeolites', '0.19', 'None', '0.00']
['A4B-V5', '5', '6', 'Coesite', '0.25', 'Zeolites', '0.55', 'None', '0.00', 'None', '0.00']
['A4B-V5', '5', '7', 'Euxenite', '0.23', 'Sylvite', '0.35', 'Vanadinite', '0.11', 'None', '0.00']
['A4B-V5', '5', '8', 'Bitumens', '0.2', 'Sylvite', '0.34', 'Zeolites', '0.26', 'None', '0.00']
['A4B-V5', '5', '9', 'Euxenite', '0.09', 'Sylvite', '0.25', 'Vanadinite', '0.66', 'None', '0.00']
['A4B-V5', '5', '10', 'Bitumens', '0.32', 'Coesite', '0.26', 'Zeolites', '0.22', 'None', '0.00']
['A4B-V5', '5', '11', 'Bitumens', '0.26', 'Sylvite', '0.33', 'Zeolites', '0.22', 'None', '0.00']
['A4B-V5', '5', '12', 'Coesite', '0.27', 'Sylvite', '0.18', 'Zeolites', '0.35', 'None', '0.00']
['A4B-V5', '5', '13', 'Euxenite', '0.21', 'Otavite', '0.09', 'Zeolites', '0.39', 'None', '0.00']
['A4B-V5', '5', '14', 'Sylvite', '0.47', 'Zeolites', '0.33', 'None', '0.00', 'None', '0.00']
['A4B-V5', '5', '15', 'Bitumens', '0.2', 'Coesite', '0.28', 'Zeolites', '0.32', 'None', '0.00']
['A4B-V5', '5', '16', 'Bitumens', '0.46', 'Coesite', '0.34', 'None', '0.00', 'None', '0.00']
['A4B-V5', '5', '17', 'Bitumens', '0.3', 'Coesite', '0.5', 'None', '0.00', 'None', '0.00']
['A4B-V5', '5', '18', 'Bitumens', '0.29', 'Sylvite', '0.51', 'None', '0.00', 'None', '0.00']
['A4B-V5', '5', '19', 'Bitumens', '0.3', 'Coesite', '0.29', 'Sylvite', '0.21', 'None', '0.00']
['A4B-V5', '5', '20', 'Bitumens', '0.28', 'Sylvite', '0.32', 'Zeolites', '0.21', 'None', '0.00']
['A4B-V5', '5', '21', 'Bitumens', '0.21', 'Sylvite', '0.32', 'Zeolites', '0.28', 'None', '0.00']
['A4B-V5', '6', '1', 'Euxenite', '0.23', 'Sylvite', '0.35', 'Vanadinite', '0.12', 'None', '0.00']
['A4B-V5', '6', '2', 'Coesite', '0.34', 'Zeolites', '0.46', 'None', '0.00', 'None', '0.00']
['A4B-V5', '6', '3', 'Bitumens', '0.28', 'Coesite', '0.35', 'Zeolites', '0.18', 'None', '0.00']
['A4B-V5', '6', '4', 'Bitumens', '0.22', 'Sylvite', '0.31', 'Zeolites', '0.27', 'None', '0.00']
['A4B-V5', '6', '5', 'Bitumens', '0.24', 'Chromite', '0.32', 'Euxenite', '0.11', 'Sylvite', '0.32']
['A4B-V5', '6', '6', 'Bitumens', '0.34', 'Coesite', '0.29', 'Zeolites', '0.18', 'None', '0.00']
['A4B-V5', '6', '7', 'Bitumens', '0.29', 'Sylvite', '0.51', 'None', '0.00', 'None', '0.00']
['A4B-V5', '6', '8', 'Bitumens', '0.18', 'Sylvite', '0.36', 'Zeolites', '0.26', 'None', '0.00']
['A4B-V5', '6', '9', 'Coesite', '0.48', 'Zeolites', '0.32', 'None', '0.00', 'None', '0.00']
['A4B-V5', '6', '10', 'Euxenite', '0.13', 'Otavite', '0.3', 'Sperrylite', '0.28', 'Zeolites', '0.29']
['A4B-V5', '6', '11', 'Bitumens', '0.51', 'Coesite', '0.29', 'None', '0.00', 'None', '0.00']
['A4B-V5', '6', '12', 'Bitumens', '0.5', 'Coesite', '0.3', 'None', '0.00', 'None', '0.00']
['A4B-V5', '6', '13', 'Bitumens', '0.34', 'Coesite', '0.29', 'Zeolites', '0.17', 'None', '0.00']
['A4B-V5', '6', '14', 'Bitumens', '0.47', 'Sylvite', '0.33', 'None', '0.00', 'None', '0.00']
['A4B-V5', '6', '15', 'Coesite', '0.54', 'Zeolites', '0.26', 'None', '0.00', 'None', '0.00']
['A4B-V5', '6', '16', 'Coesite', '0.29', 'Sylvite', '0.24', 'Zeolites', '0.27', 'None', '0.00']
['A4B-V5', '6', '17', 'Bitumens', '0.37', 'Sylvite', '0.43', 'None', '0.00', 'None', '0.00']
['A4B-V5', '6', '18', 'Sperrylite', '0.68', 'Sylvite', '0.16', 'Zeolites', '0.16', 'None', '0.00']
['A4B-V5', '6', '19', 'Bitumens', '0.32', 'Sylvite', '0.25', 'Zeolites', '0.23', 'None', '0.00']
['A4B-V5', '6', '20', 'Bitumens', '0.54', 'Sylvite', '0.26', 'None', '0.00', 'None', '0.00']
['A4B-V5', '6', '21', 'Coesite', '0.19', 'Sylvite', '0.33', 'Zeolites', '0.29', 'None', '0.00']
['A-803L', '2', '1', 'Coesite', '0.31', 'Sylvite', '0.17', 'Zeolites', '0.32', 'None', '0.00']
['A-803L', '3', '1', 'Coesite', '0.17', 'Sylvite', '0.32', 'Zeolites', '0.31', 'None', '0.00']
['A-803L', '4', '1', 'Bitumens', '0.28', 'Coesite', '0.52', 'None', '0.00', 'None', '0.00']
['A-803L', '4', '2', 'Bitumens', '0.29', 'Chromite', '0.29', 'Cobaltite', '0.23', 'None', '0.00']
['A-803L', '4', '3', 'Bitumens', '0.33', 'Coesite', '0.25', 'Zeolites', '0.21', 'None', '0.00']
['A-803L', '4', '4', 'Coesite', '0.25', 'Sylvite', '0.22', 'Zeolites', '0.32', 'None', '0.00']
['A-803L', '4', '5', 'Sylvite', '0.28', 'Zeolites', '0.52', 'None', '0.00', 'None', '0.00']
['A-803L', '5', '1', 'Bitumens', '0.28', 'Coesite', '0.32', 'Zeolites', '0.2', 'None', '0.00']
['A-803L', '5', '2', 'Coesite', '0.5', 'Zeolites', '0.3', 'None', '0.00', 'None', '0.00']
['A-803L', '5', '3', 'Bitumens', '0.31', 'Sylvite', '0.31', 'Zeolites', '0.18', 'None', '0.00']
['A-803L', '7', '1', 'Coesite', '0.29', 'Zeolites', '0.51', 'None', '0.00', 'None', '0.00']
['A-803L', '7', '2', 'Bitumens', '0.18', 'Coesite', '0.29', 'Zeolites', '0.33', 'None', '0.00']
['A-803L', '7', '3', 'Bitumens', '0.32', 'Coesite', '0.21', 'Sylvite', '0.27', 'None', '0.00']
['A-803L', '7', '4', 'Bitumens', '0.5', 'Coesite', '0.3', 'None', '0.00', 'None', '0.00']
['A-803L', '7', '5', 'Coesite', '0.22', 'Sylvite', '0.33', 'Zeolites', '0.25', 'None', '0.00']
['A-803L', '7', '6', 'Cobaltite', '0.21', 'Sperrylite', '0.1', 'Sylvite', '0.39', 'None', '0.00']
['A-803L', '7', '7', 'Bitumens', '0.51', 'Sylvite', '0.29', 'None', '0.00', 'None', '0.00']
['A-803L', '7', '8', 'Bitumens', '0.56', 'Coesite', '0.24', 'None', '0.00', 'None', '0.00']
['A-803L', '7', '9', 'Bitumens', '0.29', 'Coesite', '0.27', 'Sylvite', '0.24', 'None', '0.00']
['A-803L', '7', '10', 'Bitumens', '0.3', 'Coesite', '0.24', 'Sylvite', '0.27', 'None', '0.00']
['A-803L', '7', '11', 'Bitumens', '0.29', 'Coesite', '0.28', 'Zeolites', '0.23', 'None', '0.00']
['A-803L', '7', '12', 'Bitumens', '0.31', 'Coesite', '0.49', 'None', '0.00', 'None', '0.00']
['A-803L', '7', '13', 'Bitumens', '0.2', 'Sylvite', '0.29', 'Zeolites', '0.31', 'None', '0.00']
['A-803L', '7', '14', 'Coesite', '0.32', 'Sylvite', '0.23', 'Zeolites', '0.25', 'None', '0.00']
['A-803L', '7', '15', 'Bitumens', '0.17', 'Sylvite', '0.34', 'Zeolites', '0.29', 'None', '0.00']
['A-803L', '7', '16', 'Sylvite', '0.32', 'Zeolites', '0.48', 'None', '0.00', 'None', '0.00']
['A-803L', '7', '17', 'Sylvite', '0.32', 'Zeolites', '0.48', 'None', '0.00', 'None', '0.00']
['A-803L', '7', '18', 'Bitumens', '0.25', 'Coesite', '0.33', 'Zeolites', '0.22', 'None', '0.00']
['A-803L', '8', '1', 'Bitumens', '0.18', 'Cobaltite', '0.29', 'Sylvite', '0.27', 'Zeolites', '0.26']
['A-803L', '8', '2', 'Cobaltite', '0.33', 'Sylvite', '0.28', 'Zeolites', '0.4', 'None', '0.00']
['A-803L', '8', '3', 'Coesite', '0.52', 'Zeolites', '0.28', 'None', '0.00', 'None', '0.00']
['A-803L', '8', '4', 'Bitumens', '0.24', 'Sylvite', '0.56', 'None', '0.00', 'None', '0.00']
['A-803L', '8', '5', 'Cobaltite', '0.21', 'Vanadinite', '0.11', 'Zeolites', '0.38', 'None', '0.00']
['B-A587', '2', '1', 'Coesite', '0.31', 'Sylvite', '0.2', 'Zeolites', '0.29', 'None', '0.00']
['B-A587', '3', '1', 'Bitumens', '0.16', 'Euxenite', '0.46', 'Sylvite', '0.21', 'Zeolites', '0.16']
['B-A587', '4', '1', 'Sylvite', '0.26', 'Zeolites', '0.54', 'None', '0.00', 'None', '0.00']
['B-A587', '4', '2', 'Coesite', '0.17', 'Sylvite', '0.32', 'Zeolites', '0.3', 'None', '0.00']
['B-A587', '4', '3', 'Bitumens', '0.32', 'Sylvite', '0.27', 'Zeolites', '0.21', 'None', '0.00']
['B-A587', '4', '4', 'Bitumens', '0.42', 'Euxenite', '0.16', 'Otavite', '0.11', 'None', '0.00']
['B-A587', '5', '1', 'Coesite', '0.26', 'Zeolites', '0.54', 'None', '0.00', 'None', '0.00']
['B-A587', '5', '2', 'Bitumens', '0.45', 'Sylvite', '0.35', 'None', '0.00', 'None', '0.00']
['B-A587', '5', '3', 'Bitumens', '0.2', 'Sylvite', '0.28', 'Zeolites', '0.31', 'None', '0.00']
['B-A587', '5', '4', 'Coesite', '0.55', 'Zeolites', '0.25', 'None', '0.00', 'None', '0.00']
['B-A587', '5', '5', 'Bitumens', '0.49', 'Euxenite', '0.28', 'Sylvite', '0.23', 'None', '0.00']
['B-A587', '5', '6', 'Bitumens', '0.19', 'Coesite', '0.22', 'Euxenite', '0.38', 'Titanite', '0.2']
['B-A587', '5', '7', 'Euxenite', '0.26', 'Sylvite', '0.55', 'Zeolites', '0.19', 'None', '0.00']
['B-A587', '5', '8', 'Coesite', '0.19', 'Sylvite', '0.28', 'Zeolites', '0.33', 'None', '0.00']
['B-A587', '5', '9', 'Bitumens', '0.3', 'Coesite', '0.31', 'Sylvite', '0.19', 'None', '0.00']
['B-A587', '5', '10', 'Coesite', '0.16', 'Euxenite', '0.42', 'Scheelite', '0.22', 'Zeolites', '0.21']
['B-A587', '5', '11', 'Coesite', '0.21', 'Sylvite', '0.28', 'Zeolites', '0.31', 'None', '0.00']
['B-A587', '5', '12', 'Bitumens', '0.24', 'Coesite', '0.33', 'Zeolites', '0.23', 'None', '0.00']
['B-A587', '5', '13', 'Bitumens', '0.56', 'Sylvite', '0.24', 'None', '0.00', 'None', '0.00']
['B-A587', '5', '14', 'Bitumens', '0.3', 'Sylvite', '0.31', 'Zeolites', '0.19', 'None', '0.00']
['B-A587', '5', '15', 'Sylvite', '0.34', 'Zeolites', '0.46', 'None', '0.00', 'None', '0.00']
['B-A587', '5', '16', 'Coesite', '0.55', 'Zeolites', '0.25', 'None', '0.00', 'None', '0.00']
['B-A587', '5', '17', 'Coesite', '0.31', 'Sylvite', '0.22', 'Zeolites', '0.27', 'None', '0.00']
